id,question_id,question,question_type,question_images,option_a,option_b,option_c,option_d,answer,question_category
68,68,"{""question"":""What is the symbol of a series of small circles with both clubs?"",""images"":[""""]}",5,,"{""type"":""image"", ""image_location"":""static/exam_images/q68/q68_a_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q68/q68_b_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q68/q68_c_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q68/q68_d_1.jpg"", ""text"":""""}",A,theory
69,69,"{""question"":""What is the meaning of this symbol <q_1> in a clubs exercise?"",""images"":[""static/exam_images/q69/q69_q_1.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""Simultaneous throw of both clubs""}","{""type"":""image"", ""image_location"":"""", ""text"":""Asymmetric throw of the clubs""}","{""type"":""image"", ""image_location"":"""", ""text"":""'Cascade' throws (double, triple)""}","{""type"":""image"", ""image_location"":"""", ""text"":""All the answers above are correct""}",D,theory
70,70,"During an exercise with clubs, the gymnast makes the following mistakes:<li>loss of 1 pair of clubs with immediate retrieval <li>loss of both clubs and retrieves the farthest after 4 steps<br>What is the penalty?",1,,0.30,1.50,0.80,1.00,B,theory
71,71,"{""question"":""Which of the following movements is not a typical movement of the clubs and therefore must not overwhelm the composition?"", ""images"":[""""]}",5,,"{""type"":""image"", ""image_location"":""static/exam_images/q71/q71_a_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q71/q71_b_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q71/q71_c_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q71/q71_d_1.jpg"", ""text"":""""}",A,theory
72,72,"{""question"":""Which are the symbols for the Fundamental Apparatus Technical Groups of the ribbon?"", ""images"":[""""]}",5,,"{""type"":""image"", ""image_location"":""static/exam_images/q72/q72_a_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q72/q72_b_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q72/q72_c_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":"""", ""text"":""None of the above""}",B,theory
73,73,"{""question"":""In a Ribbon routine, a gymnast performs <q_1> and then <q_2><br>The spirals performed are in the same plane and direction.  How does the judge proceed?"", ""images"":[""static/exam_images/q73/q73_q_1.jpg"",""static/exam_images/q73/q73_q_2.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""Both difficulties are valid""}","{""type"":""image"", ""image_location"":"""", ""text"":""The second difficulty is not valid, 0.30 penalty for repetition of handling""}","{""type"":""image"", ""image_location"":"""", ""text"":""The second difficulty is not valid, no penalty""}","{""type"":""image"", ""image_location"":"""", ""text"":""Both difficulties are not valid, 0,30 penalty for repetition of the same shape""}",C,theory
74,74,"{""question"":""In a ribbon routine, a gymnast performs only the following Fundamental Apparatus Technical Groups:<br><q_1><br>What would the correct penalty by the Artistic Execution judge be?"", ""images"":[""static/exam_images/q74/q74_q_1.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""0.10 for each missing Fundamental group""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.30 for each missing Fundamental group""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.50 for each missing Fundamental group""}","{""type"":""image"", ""image_location"":"""", ""text"":""No penalty""}",B,theory
75,75,Which of the following execution deductions is correct?,1,,0.10 - Ribbon passes the boundary of the floor area without touching the carpet,0.10 - Ribbon crossing of the boundary of the floor area touching the carpet,0.70 - If the gymnast lost the ribbon at last moment and the ribbon leaves the floor                area after the end of the exercise and the end of the music,0.50 – Knot with interruption in the exercise,D,theory
76,76,"Which of the following statements is correct?<br>During throw the gymnast makes a mistake and the ribbon leaves the floor area
",1,,Use of a replacement Ribbon is allowed,The gymnast may only use a replacement Ribbon which has been passed by the coach,Use a replacement Ribbon is not allowed,No penalty for Ribbon leaving the floor area,A,theory
77,77,Which of the following answers is NOT correct?<br>If the Ribbon gets caught in the small beams of the ceiling:,1,,The gymnast will be allowed to start the exercise over,The gymnast will not be authorized to start the exercise over,The gymnast will not be penalized for the Ribbon caught in the small beams of the ceiling,The gymnast will be penalized for the consequences of various technical errors,A,theory
78,78,How many Jump/Leap Difficulties must be in a Ribbon exercise?,1,,Minimum 4,Minimum 1,Minimum 2 and Maximum 4,None of these answers,B,theory
79,79,"{""question"":""In the Ribbon exercise the gymnast performs Pivot Difficulties in this order. Is it possible? <br><q_1>"", ""images"":[""static/exam_images/q79/q79_q_1.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""Yes""}","{""type"":""image"", ""image_location"":"""", ""text"":""No, both are cancelled""}","{""type"":""image"", ""image_location"":"""", ""text"":""Yes, but there is a penalty for insufficient variety""}","{""type"":""image"", ""image_location"":"""", ""text"":""The second Pivot Difficulty is cancelled""}",D,theory
80,80,"{""question"":""What are the values of the following pivots in this order in a ribbon exercise:<br><q_1>"", ""images"":[""static/exam_images/q80/q80_q_1.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""0.4 / 0.4 / 0.0""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.4 / 0.0 / 0.2""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.0 / 0.4 / 0.2""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.4 / 0.4 / 0.2""}",D,theory
81,81,"{""question"":""What is the value for the following Body Difficulty?<br><li>360˚ Pivot side scale with split without help, performed with large circle of the Ribbon<br><q_1>"",""images"":[""static/exam_images/q81/q81_q_1.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""0.70""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.50""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.00""}","{""type"":""image"", ""image_location"":"""", ""text"":""None of the above""}",A,theory
82,82,"{""question"":""Which of the following movements does NOT belong to the Non-Fundamental Apparatus Technical Groups for Ribbon?"", ""images"":[""""]}",5,,"{""type"":""image"", ""image_location"":""static/exam_images/q82/q82_a_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q82/q82_b_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q82/q82_c_1.jpg"", ""text"":""""}","{""type"":""image"", ""image_location"":""static/exam_images/q82/q82_d_1.jpg"", ""text"":""""}",A,theory
83,83,"{""question"":""In a ribbon exercise, is it possible to perform stag leaps in ring, taking-off from 1 foot and then taking-off from 2 feet with Fundamental Technical Apparatus movements?<br><q_1>"", ""images"":[""static/exam_images/q83/q83_q_1.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""Yes, the value of the jumps is the same and they are considered as different shapes""}","{""type"":""image"", ""image_location"":"""", ""text"":""Yes, the value of the jumps is different and they are considered as different shapes""}","{""type"":""image"", ""image_location"":"""", ""text"":""No, both jumps will be cancelled; the value of the jumps is different and they are considered as the same shape""}","{""type"":""image"", ""image_location"":"""", ""text"":""No, the second jump will be cancelled; the value of the jumps is the same and they are considered as the same shape""}",D,theory
84,84,A gymnast performs continuous connected folklore dance steps during 8 seconds with traveling with large throw of the Ribbon<br> What is the value of this Dance Steps Combination (<strong>S</strong>)?,1,,0.50,0.30,0.10,0.00,D,theory
85,85,"{""question"":""What is the value of the following DER?<li>Throw the ribbon without visual control, 2 chaine turns, and then a roll and catch the ribbon immediately on the floor without hands.<br><q_1>"", ""images"":[""static/exam_images/q85/q85_q_1.jpg""]}",5,,"{""type"":""image"", ""image_location"":"""", ""text"":""0.60""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.70""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.40""}","{""type"":""image"", ""image_location"":"""", ""text"":""0.30""}",A,theory
86,86,"{""heading"":""Scoring D1 + D2"",""question"":""What is the value of D1 + D2?""}",1,"{""videos"":[""static/test_videos/1.mp4"",""static/test_videos/2.mp4"",""static/test_videos/3.mp4"",""static/test_videos/4.mp4"",""static/test_videos/5.mp4""]}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}",A,practical
87,87,"{""heading"":""Scoring D3 + D4"",""question"":""What is the value of D3 + D4?""}",1,"{""videos"":[""static/test_videos/1.mp4"",""static/test_videos/2.mp4"",""static/test_videos/3.mp4"",""static/test_videos/4.mp4"",""static/test_videos/5.mp4""]}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}",A,practical
88,88,"{""heading"":""Scoring AV"",""question"":""What is the AV value?""}",1,"{""videos"":[""static/test_videos/1.mp4"",""static/test_videos/2.mp4"",""static/test_videos/3.mp4"",""static/test_videos/4.mp4"",""static/test_videos/5.mp4""]}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}",A,practical
89,89,"{""heading"":""Scoring EX"",""question"":""What is the EX value?""}",1,"{""videos"":[""static/exam_videos/Anna_Sokolova_rope.mp4"",""static/exam_videos/Viktoriia_Denysenko_hoop.mp4"",""static/exam_videos/Alida_Bogdanova_Junior_Ball_.mp4"",""static/exam_videos/FIG_junior.Abitova_Roza.clubs.mp4"",""static/exam_videos/Eve_Baker-Roberts_ribbon.mp4""]}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}","{""quesiton_type"":""text""}",A,practical
